Variable,Year,Province,Value,Admin_Lvl,Region,Unit
Subsistence Incidence among Population (%),2021,Benguet,  1.1 ,Province,CAR,%
Subsistence Incidence among Population (%),2021,Ifugao,  1.5 ,Province,CAR,%
Subsistence Incidence among Population (%),2021,Kalinga,  1.9 ,Province,CAR,%
Subsistence Incidence among Population (%),2021,Mt. Province,  5.2 ,Province,CAR,%
Subsistence Incidence among Population (%),2021,Region I,  4.0 ,Region,Region I,%
Subsistence Incidence among Population (%),2021,Ilocos Norte, 0.0,Province,Region I,%
Subsistence Incidence among Population (%),2021,Ilocos Sur,  4.8 ,Province,Region I,%
Subsistence Incidence among Population (%),2021,La Union,  1.5 ,Province,Region I,%
Subsistence Incidence among Population (%),2021,Pangasinan,  5.2 ,Province,Region I,%
Subsistence Incidence among Population (%),2021,Region II,  3.9 ,Region,Region II,%
Subsistence Incidence among Population (%),2021,Batanes,  0.3 ,Province,Region II,%
Subsistence Incidence among Population (%),2021,Cagayan,  1.9 ,Province,Region II,%
Subsistence Incidence among Population (%),2021,Isabela,  5.6 ,Province,Region II,%
Subsistence Incidence among Population (%),2021,Nueva Vizcaya,  4.5 ,Province,Region II,%
Subsistence Incidence among Population (%),2021,Quirino,  1.3 ,Province,Region II,%
Subsistence Incidence among Population (%),2021,Region III,  2.6 ,Region,Region III,%
Subsistence Incidence among Population (%),2021,Aurora,  6.9 ,Province,Region III,%
Subsistence Incidence among Population (%),2021,Bataan,  2.7 ,Province,Region III,%
Subsistence Incidence among Population (%),2021,Bulacan,  2.5 ,Province,Region III,%
Subsistence Incidence among Population (%),2021,Nueva Ecija,  2.8 ,Province,Region III,%
Subsistence Incidence among Population (%),2021,Pampanga,  0.6 ,Province,Region III,%
Subsistence Incidence among Population (%),2021,Tarlac,  2.7 ,Province,Region III,%
Subsistence Incidence among Population (%),2021,Zambales,  7.4 ,Province,Region III,%
Subsistence Incidence among Population (%),2021,Region IV-A,  2.4 ,Region,Region IV-A,%
Subsistence Incidence among Population (%),2021,Batangas,  1.0 ,Province,Region IV-A,%
Subsistence Incidence among Population (%),2021,Cavite,  2.4 ,Province,Region IV-A,%
Subsistence Incidence among Population (%),2021,Laguna,  2.4 ,Province,Region IV-A,%
Subsistence Incidence among Population (%),2021,Quezon,  6.6 ,Province,Region IV-A,%
Subsistence Incidence among Population (%),2021,Rizal,  0.9 ,Province,Region IV-A,%
Subsistence Incidence among Population (%),2021,Region IV-B,  7.5 ,Region,Region IV-B,%
Subsistence Incidence among Population (%),2021,Marinduque ,  4.9 ,Province,Region IV-B,%
Subsistence Incidence among Population (%),2021,Occidental Mindoro,  13.3 ,Province,Region IV-B,%
Subsistence Incidence among Population (%),2021,Oriental Mindoro,  8.2 ,Province,Region IV-B,%
Subsistence Incidence among Population (%),2021,Palawan,  3.3 ,Province,Region IV-B,%
Subsistence Incidence among Population (%),2021,Romblon,  14.1 ,Province,Region IV-B,%
Subsistence Incidence among Population (%),2021,Region V,  9.8 ,Region,Region V,%
Subsistence Incidence among Population (%),2021,Albay,  6.2 ,Province,Region V,%
Subsistence Incidence among Population (%),2021,Camarines Norte,  5.5 ,Province,Region V,%
Subsistence Incidence among Population (%),2021,Camarines Sur,  14.8 ,Province,Region V,%
Subsistence Incidence among Population (%),2021,Catanduanes,  6.2 ,Province,Region V,%
Subsistence Incidence among Population (%),2021,Masbate,  9.4 ,Province,Region V,%
Subsistence Incidence among Population (%),2021,Sorsogon,  8.5 ,Province,Region V,%
Subsistence Incidence among Population (%),2021,Region VI,  5.5 ,Region,Region VI,%
Subsistence Incidence among Population (%),2021,Aklan,  6.7 ,Province,Region VI,%
Subsistence Incidence among Population (%),2021,Antique,  8.0 ,Province,Region VI,%
Subsistence Incidence among Population (%),2021,Capiz,  1.4 ,Province,Region VI,%
Subsistence Incidence among Population (%),2021,Guimaras,  1.2 ,Province,Region VI,%
Subsistence Incidence among Population (%),2021,Iloilo,  6.1 ,Province,Region VI,%
Subsistence Incidence among Population (%),2021,Negros Occidental,  5.6 ,Province,Region VI,%
Subsistence Incidence among Population (%),2021,Region VII,  10.9 ,Region,Region VII,%
Subsistence Incidence among Population (%),2021,Bohol,  8.1 ,Province,Region VII,%
Subsistence Incidence among Population (%),2021,Cebu,  11.8 ,Province,Region VII,%
Subsistence Incidence among Population (%),2021,Negros Oriental,  10.8 ,Province,Region VII,%
Subsistence Incidence among Population (%),2021,Siquijor,0.0,Province,Region VII,%
Subsistence Incidence among Population (%),2021,Region VIII,  10.4 ,Region,Region VIII,%
Subsistence Incidence among Population (%),2021,Biliran,  10.1 ,Province,Region VIII,%
Subsistence Incidence among Population (%),2021,Eastern Samar,17.1,Province,Region VIII,%
Subsistence Incidence among Population (%),2021,Leyte,10.3,Province,Region VIII,%
Subsistence Incidence among Population (%),2021,Northern Samar,5.8,Province,Region VIII,%
Subsistence Incidence among Population (%),2021,Southern Leyte,  6.0 ,Province,Region VIII,%
Subsistence Incidence among Population (%),2021,Samar,  12.7 ,Province,Region VIII,%
Subsistence Incidence among Population (%),2021,Region IX,  12.5 ,Region,Region IX,%
Subsistence Incidence among Population (%),2021,Zamboanga del Norte,  25.8 ,Province,Region IX,%
Subsistence Incidence among Population (%),2021,Zamboanga del Sur,  6.0 ,Province,Region IX,%
Subsistence Incidence among Population (%),2021,Zamboanga Sibugay,  12.4 ,Province,Region IX,%
Subsistence Incidence among Population (%),2021,Isabela City,  2.7 ,Province,Region IX,%
Subsistence Incidence among Population (%),2021,Region X,  9.3 ,Region,Region X,%
Subsistence Incidence among Population (%),2021,Bukidnon,  11.5 ,Province,Region X,%
Subsistence Incidence among Population (%),2021,Camiguin,  5.9 ,Province,Region X,%
Subsistence Incidence among Population (%),2021,Lanao del Norte,  14.8 ,Province,Region X,%
Subsistence Incidence among Population (%),2021,Misamis Occidental,  6.1 ,Province,Region X,%
Subsistence Incidence among Population (%),2021,Misamis Oriental,  5.1 ,Province,Region X,%
Subsistence Incidence among Population (%),2021,Region XI,  5.1 ,Region,Region XI,%
Subsistence Incidence among Population (%),2021,Davao del Norte,2.9,Province,Region XI,%
Subsistence Incidence among Population (%),2021,Davao del Sur,2.9,Province,Region XI,%
Subsistence Incidence among Population (%),2021,Davao Oriental,7.7,Province,Region XI,%
Subsistence Incidence among Population (%),2021,Davao de Oro,7.0,Province,Region XI,%
Subsistence Incidence among Population (%),2021,Davao Occidental,18.7,Province,Region XI,%
Subsistence Incidence among Population (%),2021,Region XII,  11.9 ,Region,Region XII,%
Subsistence Incidence among Population (%),2021,Cotabato,  13.8 ,Province,Region XII,%
Subsistence Incidence among Population (%),2021,Sarangani,  19.0 ,Province,Region XII,%
Subsistence Incidence among Population (%),2021,South Cotabato,  6.2 ,Province,Region XII,%
Subsistence Incidence among Population (%),2021,Sultan Kudarat,  13.2 ,Province,Region XII,%
Subsistence Incidence among Population (%),2021,Cotabato City,  16.5 ,Province,Region XII,%
Subsistence Incidence among Population (%),2021,Region XIII,  12.8 ,Region,Region XIII,%
Subsistence Incidence among Population (%),2021,Agusan del Norte,  11.8 ,Province,Region XIII,%
Subsistence Incidence among Population (%),2021,Agusan del Sur,  17.2 ,Province,Region XIII,%
Subsistence Incidence among Population (%),2021,Surigao Del Norte,  10.6 ,Province,Region XIII,%
Subsistence Incidence among Population (%),2021,Surigao Del Sur,  10.8 ,Province,Region XIII,%
Subsistence Incidence among Population (%),2021,Dinagat Islands,  12.8 ,Province,Region XIII,%
Subsistence Incidence among Population (%),2021,ARMM,  12.5 ,Region,ARMM,%
Subsistence Incidence among Population (%),2021,Basilan,  23.9 ,Province,ARMM,%
Subsistence Incidence among Population (%),2021,Lanao del Sur,  0.4 ,Province,ARMM,%
Subsistence Incidence among Population (%),2021,Maguindanao,  12.4 ,Province,ARMM,%
Subsistence Incidence among Population (%),2021,Sulu,  24.2 ,Province,ARMM,%
Subsistence Incidence among Population (%),2021,Tawi-tawi,  10.1 ,Province,ARMM,%
Magnitude of Poor Families,2021,PHILIPPINES,3496,Country,Philippines,families
Magnitude of Poor Families,2021,NCR,76,Region,NCR,families
Magnitude of Poor Families,2021,1st District,5,District,NCR,families
Magnitude of Poor Families,2021,2nd District,20,District,NCR,families
Magnitude of Poor Families,2021,3rd District,23,District,NCR,families
Magnitude of Poor Families,2021,4th District,28,District,NCR,families
Magnitude of Poor Families,2021,CAR,31,Region,CAR,families
Magnitude of Poor Families,2021,Abra,9,Province,CAR,families
Magnitude of Poor Families,2021,Apayao,1,Province,CAR,families
Magnitude of Poor Families,2021,Benguet,9,Province,CAR,families
Magnitude of Poor Families,2021,Ifugao,3,Province,CAR,families
Magnitude of Poor Families,2021,Kalinga,3,Province,CAR,families
Magnitude of Poor Families,2021,Mt. Province,6,Province,CAR,families
Magnitude of Poor Families,2021,Region I,139,Region,Region I,families
Magnitude of Poor Families,2021,Ilocos Norte,3,Province,Region I,families
Magnitude of Poor Families,2021,Ilocos Sur,20,Province,Region I,families
Magnitude of Poor Families,2021,La Union,13,Province,Region I,families
Magnitude of Poor Families,2021,Pangasinan,104,Province,Region I,families
Magnitude of Poor Families,2021,Region II,105,Region,Region II,families
Magnitude of Poor Families,2021,Batanes,0,Province,Region II,families
Magnitude of Poor Families,2021,Cagayan,22,Province,Region II,families
Magnitude of Poor Families,2021,Isabela,66,Province,Region II,families
Magnitude of Poor Families,2021,Nueva Vizcaya,14,Province,Region II,families
Magnitude of Poor Families,2021,Quirino,3,Province,Region II,families
Magnitude of Poor Families,2021,Region III,248,Region,Region III,families
Magnitude of Poor Families,2021,Aurora,9,Province,Region III,families
Magnitude of Poor Families,2021,Bataan,19,Province,Region III,families
Magnitude of Poor Families,2021,Bulacan,73,Province,Region III,families
Magnitude of Poor Families,2021,Nueva Ecija,57,Province,Region III,families
Magnitude of Poor Families,2021,Pampanga,20,Province,Region III,families
Magnitude of Poor Families,2021,Tarlac,29,Province,Region III,families
Magnitude of Poor Families,2021,Zambales,41,Province,Region III,families
Magnitude of Poor Families,2021,Region IV-A,296,Region,Region IV-A,families
Magnitude of Poor Families,2021,Batangas,32,Province,Region IV-A,families
Magnitude of Poor Families,2021,Cavite,77,Province,Region IV-A,families
Magnitude of Poor Families,2021,Laguna,65,Province,Region IV-A,families
Magnitude of Poor Families,2021,Quezon,89,Province,Region IV-A,families
Magnitude of Poor Families,2021,Rizal,32,Province,Region IV-A,families
Magnitude of Poor Families,2021,Region IV-B,118,Region,Region IV-B,families
Magnitude of Poor Families,2021,Marinduque ,9,Province,Region IV-B,families
Magnitude of Poor Families,2021,Occidental Mindoro,29,Province,Region IV-B,families
Magnitude of Poor Families,2021,Oriental Mindoro,27,Province,Region IV-B,families
Magnitude of Poor Families,2021,Palawan,29,Province,Region IV-B,families
Magnitude of Poor Families,2021,Romblon,23,Province,Region IV-B,families
Magnitude of Poor Families,2021,Region V,293,Region,Region V,families
Magnitude of Poor Families,2021,Albay,47,Province,Region V,families
Magnitude of Poor Families,2021,Camarines Norte,24,Province,Region V,families
Magnitude of Poor Families,2021,Camarines Sur,131,Province,Region V,families
Magnitude of Poor Families,2021,Catanduanes,10,Province,Region V,families
Magnitude of Poor Families,2021,Masbate,41,Province,Region V,families
Magnitude of Poor Families,2021,Sorsogon,40,Province,Region V,families
Magnitude of Poor Families,2021,Region VI,269,Region,Region VI,families
Magnitude of Poor Families,2021,Aklan,21,Province,Region VI,families
Magnitude of Poor Families,2021,Antique,27,Province,Region VI,families
Magnitude of Poor Families,2021,Capiz,13,Province,Region VI,families
Magnitude of Poor Families,2021,Guimaras,3,Province,Region VI,families
Magnitude of Poor Families,2021,Iloilo,77,Province,Region VI,families
Magnitude of Poor Families,2021,Negros Occidental,128,Province,Region VI,families
Magnitude of Poor Families,2021,Region VII,435,Region,Region VII,families
Magnitude of Poor Families,2021,Bohol,61,Province,Region VII,families
Magnitude of Poor Families,2021,Cebu,293,Province,Region VII,families
Magnitude of Poor Families,2021,Negros Oriental,80,Province,Region VII,families
Magnitude of Poor Families,2021,Siquijor,1,Province,Region VII,families
Magnitude of Poor Families,2021,Region VIII,251,Region,Region VIII,families
Magnitude of Poor Families,2021,Biliran,9,Province,Region VIII,families
Magnitude of Poor Families,2021,Eastern Samar,38,Province,Region VIII,families
Magnitude of Poor Families,2021,Leyte,111,Province,Region VIII,families
Magnitude of Poor Families,2021,Northern Samar,27,Province,Region VIII,families
Magnitude of Poor Families,2021,Southern Leyte,16,Province,Region VIII,families
Magnitude of Poor Families,2021,Samar,51,Province,Region VIII,families
Magnitude of Poor Families,2021,Region IX,205,Region,Region IX,families
Magnitude of Poor Families,2021,Zamboanga del Norte,100,Province,Region IX,families
Magnitude of Poor Families,2021,Zamboanga del Sur,59,Province,Region IX,families
Magnitude of Poor Families,2021,Zamboanga Sibugay,43,Province,Region IX,families
Magnitude of Poor Families,2021,Isabela City,3,Province,Region IX,families
Magnitude of Poor Families,2021,Region X,228,Region,Region X,families
Magnitude of Poor Families,2021,Bukidnon,80,Province,Region X,families
Magnitude of Poor Families,2021,Camiguin,3,Province,Region X,families
Magnitude of Poor Families,2021,Lanao del Norte,63,Province,Region X,families
Magnitude of Poor Families,2021,Misamis Occidental,26,Province,Region X,families
Magnitude of Poor Families,2021,Misamis Oriental,55,Province,Region X,families
Magnitude of Poor Families,2021,Region XI,165,Region,Region XI,families
Magnitude of Poor Families,2021,Davao del Norte,19,Province,Region XI,families
Magnitude of Poor Families,2021,Davao del Sur,52,Province,Region XI,families
Magnitude of Poor Families,2021,Davao Oriental,32,Province,Region XI,families
Magnitude of Poor Families,2021,Davao de Oro,34,Province,Region XI,families
Magnitude of Poor Families,2021,Davao Occidental,29,Province,Region XI,families
Magnitude of Poor Families,2021,Region XII,258,Region,Region XII,families
Magnitude of Poor Families,2021,Cotabato,90,Province,Region XII,families
Magnitude of Poor Families,2021,Sarangani,48,Province,Region XII,families
Magnitude of Poor Families,2021,South Cotabato,54,Province,Region XII,families
Magnitude of Poor Families,2021,Sultan Kudarat,47,Province,Region XII,families
Magnitude of Poor Families,2021,Cotabato City,19,Province,Region XII,families
Magnitude of Poor Families,2021,Region XIII,172,Region,Region XIII,families
Magnitude of Poor Families,2021,Agusan del Norte,42,Province,Region XIII,families
Magnitude of Poor Families,2021,Agusan del Sur,59,Province,Region XIII,families
Magnitude of Poor Families,2021,Surigao Del Norte,27,Province,Region XIII,families
Magnitude of Poor Families,2021,Surigao Del Sur,35,Province,Region XIII,families
Magnitude of Poor Families,2021,Dinagat Islands,8,Province,Region XIII,families
Magnitude of Poor Families,2021,ARMM,207,Region,ARMM,families
Magnitude of Poor Families,2021,Basilan,28,Province,ARMM,families
Magnitude of Poor Families,2021,Lanao del Sur,13,Province,ARMM,families
Magnitude of Poor Families,2021,Maguindanao,66,Province,ARMM,families
Magnitude of Poor Families,2021,Sulu,79,Province,ARMM,families
Magnitude of Poor Families,2021,Tawi-tawi,20,Province,ARMM,families
Magnitude of Poor Population,2021,PHILIPPINES,19992,Country,Philippines,population
Magnitude of Poor Population,2021,NCR,482,Region,NCR,population
Magnitude of Poor Population,2021,1st District,32,District,NCR,population
Magnitude of Poor Population,2021,2nd District,140,District,NCR,population
Magnitude of Poor Population,2021,3rd District,145,District,NCR,population
Magnitude of Poor Population,2021,4th District,166,District,NCR,population
Magnitude of Poor Population,2021,CAR,181,Region,CAR,population
Magnitude of Poor Population,2021,Abra,54,Province,CAR,population
Magnitude of Poor Population,2021,Apayao,8,Province,CAR,population
Magnitude of Poor Population,2021,Benguet,48,Province,CAR,population
Magnitude of Poor Population,2021,Ifugao,17,Province,CAR,population
Magnitude of Poor Population,2021,Kalinga,18,Province,CAR,population
Magnitude of Poor Population,2021,Mt. Province,35,Province,CAR,population
Magnitude of Poor Population,2021,Region I,763,Region,Region I,population
Magnitude of Poor Population,2021,Ilocos Norte,16,Province,Region I,population
Magnitude of Poor Population,2021,Ilocos Sur,108,Province,Region I,population
Magnitude of Poor Population,2021,La Union,77,Province,Region I,population
Magnitude of Poor Population,2021,Pangasinan,561,Province,Region I,population
Magnitude of Poor Population,2021,Region II,568,Region,Region II,population
Magnitude of Poor Population,2021,Batanes,1,Province,Region II,population
Magnitude of Poor Population,2021,Cagayan,130,Province,Region II,population
Magnitude of Poor Population,2021,Isabela,345,Province,Region II,population
Magnitude of Poor Population,2021,Nueva Vizcaya,75,Province,Region II,population
Magnitude of Poor Population,2021,Quirino,18,Province,Region II,population
Magnitude of Poor Population,2021,Region III,1430,Region,Region III,population
Magnitude of Poor Population,2021,Aurora,50,Province,Region III,population
Magnitude of Poor Population,2021,Bataan,99,Province,Region III,population
Magnitude of Poor Population,2021,Bulacan,409,Province,Region III,population
Magnitude of Poor Population,2021,Nueva Ecija,333,Province,Region III,population
Magnitude of Poor Population,2021,Pampanga,143,Province,Region III,population
Magnitude of Poor Population,2021,Tarlac,176,Province,Region III,population
Magnitude of Poor Population,2021,Zambales,221,Province,Region III,population
Magnitude of Poor Population,2021,Region IV-A,1676,Region,Region IV-A,population
Magnitude of Poor Population,2021,Batangas,197,Province,Region IV-A,population
Magnitude of Poor Population,2021,Cavite,436,Province,Region IV-A,population
Magnitude of Poor Population,2021,Laguna,324,Province,Region IV-A,population
Magnitude of Poor Population,2021,Quezon,493,Province,Region IV-A,population
Magnitude of Poor Population,2021,Rizal,226,Province,Region IV-A,population
Magnitude of Poor Population,2021,Region IV-B,668,Region,Region IV-B,population
Magnitude of Poor Population,2021,Marinduque ,54,Province,Region IV-B,population
Magnitude of Poor Population,2021,Occidental Mindoro,157,Province,Region IV-B,population
Magnitude of Poor Population,2021,Oriental Mindoro,165,Province,Region IV-B,population
Magnitude of Poor Population,2021,Palawan,170,Province,Region IV-B,population
Magnitude of Poor Population,2021,Romblon,121,Province,Region IV-B,population
Magnitude of Poor Population,2021,Region V,1815,Region,Region V,population
Magnitude of Poor Population,2021,Albay,288,Province,Region V,population
Magnitude of Poor Population,2021,Camarines Norte,140,Province,Region V,population
Magnitude of Poor Population,2021,Camarines Sur,804,Province,Region V,population
Magnitude of Poor Population,2021,Catanduanes,65,Province,Region V,population
Magnitude of Poor Population,2021,Masbate,262,Province,Region V,population
Magnitude of Poor Population,2021,Sorsogon,256,Province,Region V,population
Magnitude of Poor Population,2021,Region VI,1517,Region,Region VI,population
Magnitude of Poor Population,2021,Aklan,123,Province,Region VI,population
Magnitude of Poor Population,2021,Antique,146,Province,Region VI,population
Magnitude of Poor Population,2021,Capiz,77,Province,Region VI,population
Magnitude of Poor Population,2021,Guimaras,19,Province,Region VI,population
Magnitude of Poor Population,2021,Iloilo,455,Province,Region VI,population
Magnitude of Poor Population,2021,Negros Occidental,697,Province,Region VI,population
Magnitude of Poor Population,2021,Region VII,2221,Region,Region VII,population
Magnitude of Poor Population,2021,Bohol,327,Province,Region VII,population
Magnitude of Poor Population,2021,Cebu,1477,Province,Region VII,population
Magnitude of Poor Population,2021,Negros Oriental,414,Province,Region VII,population
Magnitude of Poor Population,2021,Siquijor,3,Province,Region VII,population
Magnitude of Poor Population,2021,Region VIII,1389,Region,Region VIII,population
Magnitude of Poor Population,2021,Biliran,49,Province,Region VIII,population
Magnitude of Poor Population,2021,Eastern Samar,193,Province,Region VIII,population
Magnitude of Poor Population,2021,Leyte,595,Province,Region VIII,population
Magnitude of Poor Population,2021,Northern Samar,175,Province,Region VIII,population
Magnitude of Poor Population,2021,Southern Leyte,97,Province,Region VIII,population
Magnitude of Poor Population,2021,Samar,281,Province,Region VIII,population
Magnitude of Poor Population,2021,Region IX,1145,Region,Region IX,population
Magnitude of Poor Population,2021,Zamboanga del Norte,535,Province,Region IX,population
Magnitude of Poor Population,2021,Zamboanga del Sur,354,Province,Region IX,population
Magnitude of Poor Population,2021,Zamboanga Sibugay,234,Province,Region IX,population
Magnitude of Poor Population,2021,Isabela City,23,Province,Region IX,population
Magnitude of Poor Population,2021,Region X,1323,Region,Region X,population
Magnitude of Poor Population,2021,Bukidnon,446,Province,Region X,population
Magnitude of Poor Population,2021,Camiguin,19,Province,Region X,population
Magnitude of Poor Population,2021,Lanao del Norte,381,Province,Region X,population
Magnitude of Poor Population,2021,Misamis Occidental,156,Province,Region X,population
Magnitude of Poor Population,2021,Misamis Oriental,321,Province,Region X,population
Magnitude of Poor Population,2021,Region XI,900,Region,Region XI,population
Magnitude of Poor Population,2021,Davao del Norte,113,Province,Region XI,population
Magnitude of Poor Population,2021,Davao del Sur,267,Province,Region XI,population
Magnitude of Poor Population,2021,Davao Oriental,185,Province,Region XI,population
Magnitude of Poor Population,2021,Davao de Oro,186,Province,Region XI,population
Magnitude of Poor Population,2021,Davao Occidental,149,Province,Region XI,population
Magnitude of Poor Population,2021,Region XII,1400,Region,Region XII,population
Magnitude of Poor Population,2021,Cotabato,494,Province,Region XII,population
Magnitude of Poor Population,2021,Sarangani,243,Province,Region XII,population
Magnitude of Poor Population,2021,South Cotabato,278,Province,Region XII,population
Magnitude of Poor Population,2021,Sultan Kudarat,261,Province,Region XII,population
Magnitude of Poor Population,2021,Cotabato City,124,Province,Region XII,population
Magnitude of Poor Population,2021,Region XIII,924,Region,Region XIII,population
Magnitude of Poor Population,2021,Agusan del Norte,230,Province,Region XIII,population
Magnitude of Poor Population,2021,Agusan del Sur,306,Province,Region XIII,population
Magnitude of Poor Population,2021,Surigao Del Norte,148,Province,Region XIII,population
Magnitude of Poor Population,2021,Surigao Del Sur,195,Province,Region XIII,population
Magnitude of Poor Population,2021,Dinagat Islands,44,Province,Region XIII,population
Magnitude of Poor Population,2021,ARMM,1590,Region,ARMM,population
Magnitude of Poor Population,2021,Basilan,212,Province,ARMM,population
Magnitude of Poor Population,2021,Lanao del Sur,127,Province,ARMM,population
Magnitude of Poor Population,2021,Maguindanao,515,Province,ARMM,population
Magnitude of Poor Population,2021,Sulu,583,Province,ARMM,population
Magnitude of Poor Population,2021,Tawi-tawi,153,Province,ARMM,population
Magnitude of Subsistence Poor Population,2021,PHILIPPINES,6545,Country,Philippines,population
Magnitude of Subsistence Poor Population,2021,NCR,64,Region,NCR,population
Magnitude of Subsistence Poor Population,2021,1st District,0,District,NCR,population
Magnitude of Subsistence Poor Population,2021,2nd District,26,District,NCR,population
Magnitude of Subsistence Poor Population,2021,3rd District,12,District,NCR,population
Magnitude of Subsistence Poor Population,2021,4th District,25,District,NCR,population
Magnitude of Subsistence Poor Population,2021,CAR,40,Region,CAR,population
Magnitude of Subsistence Poor Population,2021,Abra,13,Province,CAR,population
Magnitude of Subsistence Poor Population,2021,Apayao,1,Province,CAR,population
Magnitude of Subsistence Poor Population,2021,Benguet,9,Province,CAR,population
Magnitude of Subsistence Poor Population,2021,Ifugao,3,Province,CAR,population
Magnitude of Subsistence Poor Population,2021,Kalinga,4,Province,CAR,population
Magnitude of Subsistence Poor Population,2021,Mt. Province,8,Province,CAR,population
Magnitude of Subsistence Poor Population,2021,Region I,211,Region,Region I,population
Magnitude of Subsistence Poor Population,2021,Ilocos Norte,0,Province,Region I,population
Magnitude of Subsistence Poor Population,2021,Ilocos Sur,35,Province,Region I,population
Magnitude of Subsistence Poor Population,2021,La Union,13,Province,Region I,population
Magnitude of Subsistence Poor Population,2021,Pangasinan,164,Province,Region I,population
Magnitude of Subsistence Poor Population,2021,Region II,143,Region,Region II,population
Magnitude of Subsistence Poor Population,2021,Batanes,0,Province,Region II,population
Magnitude of Subsistence Poor Population,2021,Cagayan,24,Province,Region II,population
Magnitude of Subsistence Poor Population,2021,Isabela,95,Province,Region II,population
Magnitude of Subsistence Poor Population,2021,Nueva Vizcaya,22,Province,Region II,population
Magnitude of Subsistence Poor Population,2021,Quirino,3,Province,Region II,population
Magnitude of Subsistence Poor Population,2021,Region III,321,Region,Region III,population
Magnitude of Subsistence Poor Population,2021,Aurora,16,Province,Region III,population
Magnitude of Subsistence Poor Population,2021,Bataan,23,Province,Region III,population
Magnitude of Subsistence Poor Population,2021,Bulacan,91,Province,Region III,population
Magnitude of Subsistence Poor Population,2021,Nueva Ecija,66,Province,Region III,population
Magnitude of Subsistence Poor Population,2021,Pampanga,18,Province,Region III,population
Magnitude of Subsistence Poor Population,2021,Tarlac,40,Province,Region III,population
Magnitude of Subsistence Poor Population,2021,Zambales,67,Province,Region III,population
Magnitude of Subsistence Poor Population,2021,Region IV-A,398,Region,Region IV-A,population
Magnitude of Subsistence Poor Population,2021,Batangas,31,Province,Region IV-A,population
Magnitude of Subsistence Poor Population,2021,Cavite,104,Province,Region IV-A,population
Magnitude of Subsistence Poor Population,2021,Laguna,81,Province,Region IV-A,population
Magnitude of Subsistence Poor Population,2021,Quezon,151,Province,Region IV-A,population
Magnitude of Subsistence Poor Population,2021,Rizal,31,Province,Region IV-A,population
Magnitude of Subsistence Poor Population,2021,Region IV-B,240,Region,Region IV-B,population
Magnitude of Subsistence Poor Population,2021,Marinduque ,12,Province,Region IV-B,population
Magnitude of Subsistence Poor Population,2021,Occidental Mindoro,69,Province,Region IV-B,population
Magnitude of Subsistence Poor Population,2021,Oriental Mindoro,75,Province,Region IV-B,population
Magnitude of Subsistence Poor Population,2021,Palawan,41,Province,Region IV-B,population
Magnitude of Subsistence Poor Population,2021,Romblon,43,Province,Region IV-B,population
Magnitude of Subsistence Poor Population,2021,Region V,609,Region,Region V,population
Magnitude of Subsistence Poor Population,2021,Albay,88,Province,Region V,population
Magnitude of Subsistence Poor Population,2021,Camarines Norte,34,Province,Region V,population
Magnitude of Subsistence Poor Population,2021,Camarines Sur,308,Province,Region V,population
Magnitude of Subsistence Poor Population,2021,Catanduanes,17,Province,Region V,population
Magnitude of Subsistence Poor Population,2021,Masbate,89,Province,Region V,population
Magnitude of Subsistence Poor Population,2021,Sorsogon,72,Province,Region V,population
Magnitude of Subsistence Poor Population,2021,Region VI,439,Region,Region VI,population
Magnitude of Subsistence Poor Population,2021,Aklan,41,Province,Region VI,population
Magnitude of Subsistence Poor Population,2021,Antique,50,Province,Region VI,population
Magnitude of Subsistence Poor Population,2021,Capiz,12,Province,Region VI,population
Magnitude of Subsistence Poor Population,2021,Guimaras,2,Province,Region VI,population
Magnitude of Subsistence Poor Population,2021,Iloilo,156,Province,Region VI,population
Magnitude of Subsistence Poor Population,2021,Negros Occidental,179,Province,Region VI,population
Magnitude of Subsistence Poor Population,2021,Region VII,876,Region,Region VII,population
Magnitude of Subsistence Poor Population,2021,Bohol,112,Province,Region VII,population
Magnitude of Subsistence Poor Population,2021,Cebu,611,Province,Region VII,population
Magnitude of Subsistence Poor Population,2021,Negros Oriental,153,Province,Region VII,population
Magnitude of Subsistence Poor Population,2021,Siquijor,0,Province,Region VII,population
Magnitude of Subsistence Poor Population,2021,Region VIII,498,Region,Region VIII,population
Magnitude of Subsistence Poor Population,2021,Biliran,18,Province,Region VIII,population
Magnitude of Subsistence Poor Population,2021,Eastern Samar,87,Province,Region VIII,population
Magnitude of Subsistence Poor Population,2021,Leyte,221,Province,Region VIII,population
Magnitude of Subsistence Poor Population,2021,Northern Samar,39,Province,Region VIII,population
Magnitude of Subsistence Poor Population,2021,Southern Leyte,27,Province,Region VIII,population
Magnitude of Subsistence Poor Population,2021,Samar,105,Province,Region VIII,population
Magnitude of Subsistence Poor Population,2021,Region IX,476,Region,Region IX,population
Magnitude of Subsistence Poor Population,2021,Zamboanga del Norte,272,Province,Region IX,population
Magnitude of Subsistence Poor Population,2021,Zamboanga del Sur,115,Province,Region IX,population
Magnitude of Subsistence Poor Population,2021,Zamboanga Sibugay,85,Province,Region IX,population
Magnitude of Subsistence Poor Population,2021,Isabela City,4,Province,Region IX,population
Magnitude of Subsistence Poor Population,2021,Region X,472,Region,Region X,population
Magnitude of Subsistence Poor Population,2021,Bukidnon,175,Province,Region X,population
Magnitude of Subsistence Poor Population,2021,Camiguin,6,Province,Region X,population
